38.819356,0,90,-90,-90,0,0,0,0,0,0,0
39.085577,0,90,-90,-90,0,0.279672,0,0,0,0,0
39.365249,0,90,-90,-90,0,0.287299,0,0,0,0,0
39.652548,0,90,-90,-90,0,0.271682,0,0,0,0,0
39.92423,0,90,-90,-90,0,0.284734,0,0,0,0,0
40.208964,0,90,-90,-90,0,0.28683,0,0,0,0,0
40.495794,0,90,-90,-90,0,0.277845,0,0,0,0,0
40.773639,0,90,-90,-90,0,0.301278,0,0,0,0,0
41.074917,0,90,-90,-90,0,0.297896,0,0,0,0,0
41.372813,0,90,-90,-90,0,0.302374,0,0,0,0,0
41.675187,0,90,-90,-90,0,0.28943,0,0,0,0,0
41.964617,0,90,-90,-90,0,0.316296,0,0,0,0,0
42.280913,0,90,-90,-90,0,0.315536,0,0,0,0,0
42.596449,0,90,-90,-90,0,0.294734,0,0,0,0,0
42.891183,0,90,-90,-90,0,0.280827,0,0,0,0,0
43.17201,0,90,-90,-90,0,0.320765,0,0,0,0,0
43.492775,0,90,-90,-90,0,0.380677,0,0,0,0,0
43.873452,0,90,-90,-90,0,0.301219,0,0,0,0,0
44.174671,0,90,-90,-90,0,0.336216,0,0,0,0,0
44.510887,0,90,-90,-90,0,0.307772,0,0,0,0,0
44.818659,0,90,-90,-90,0,0.309899,0,0,0,0,0
45.128558,0,90,-90,-90,0,0.34882,0,0,0,0,0
45.477378,0.24,90.2,-90.44,-89.82,0,0.407052,0.589605259,0.2,-0.44,0.18,0
45.88443,1.2,90.83,-91.44,-89.45,0,0.36068,2.661639126,0.63,-1,0.37,0
46.24511,2.72,91.83,-93,-88.9,0,0.342481,4.438202411,1,-1.56,0.55,0
46.587591,3.8,92.51,-94.01,-88.54,0,0.348064,3.102877632,0.68,-1.01,0.36,0
46.935655,4.76,93.15,-95,-88.19,0,0.363728,2.639334888,0.64,-0.99,0.35,0
47.299383,5.73,93.76,-96,-87.82,0,0.345585,2.806834787,0.61,-1,0.37,0
47.644968,7.26,94.75,-97.51,-87.28,0,0.352173,4.344455708,0.99,-1.51,0.54,0
47.997141,8.3,95.42,-98.6,-86.89,0,0.330299,3.148662273,0.67,-1.09,0.39,0
48.32744,9.54,96.01,-99.52,-86.52,0,0.322563,3.844210278,0.59,-0.92,0.37,0
48.650003,10.75,96.46,-100.32,-86.16,0,0.331236,3.652984579,0.45,-0.8,0.36,0
48.981239,12.13,96.97,-101.22,-85.77,0,0.31716,4.351116156,0.51,-0.9,0.39,0
49.298399,13.36,97.44,-102.04,-85.41,0,0.325792,3.775414989,0.47,-0.82,0.36,0
49.624191,14.58,97.89,-102.87,-85.04,0,0.32066,3.804652903,0.45,-0.83,0.37,0
49.944851,15.91,98.36,-103.7,-84.68,0,0.333082,3.99301073,0.47,-0.83,0.36,0
50.277933,17.18,98.84,-104.55,-84.33,0,0.329128,3.858681121,0.48,-0.85,0.35,0
50.607061,18.44,99.32,-105.4,-83.96,0,0.363677,3.46461283,0.48,-0.85,0.37,0
50.970738,19.77,99.67,-106.1,-83.57,0,0.34385,3.867965683,0.35,-0.7,0.39,0
51.314588,21.28,99.86,-106.71,-83.15,0,0.325436,4.639929203,0.19,-0.61,0.42,0
51.640024,22.72,100.06,-107.29,-82.78,0,0.340625,4.227522936,0.2,-0.58,0.37,0
51.980649,24.14,100.25,-107.89,-82.36,0,0.332642,4.268853602,0.19,-0.6,0.42,0
52.313291,25.61,100.45,-108.47,-81.98,0,0.342253,4.295068268,0.2,-0.58,0.38,0
52.655544,27.08,100.65,-109.12,-81.54,0,0.341496,4.304589219,0.2,-0.65,0.44,0
52.99704,28.59,100.85,-109.71,-81.14,0,0.333807,4.523572004,0.2,-0.59,0.4,0
53.330847,30.07,101.04,-110.32,-80.72,0,0.347141,4.263397294,0.19,-0.61,0.42,0
53.677988,31.65,101.07,-110.78,-80.26,0,0.334555,4.722691336,0.03,-0.46,0.46,0
54.012543,33.21,100.93,-111.11,-79.77,0,0.349534,4.463085136,-0.14,-0.33,0.49,0
54.362077,34.7,100.79,-111.42,-79.33,0,0.351319,4.241159744,-0.14,-0.31,0.44,0
54.713396,36.17,100.65,-111.72,-78.89,0,0.352928,4.165155499,-0.14,-0.3,0.44,0
55.066324,38.29,100.45,-112.2,-78.2,0,0.352552,6.013297329,-0.2,-0.48,0.69,0
55.418876,39.79,100.31,-112.52,-77.74,0,0.357227,4.199010713,-0.14,-0.32,0.46,0
55.776103,41.35,100.17,-112.84,-77.29,0,0.345973,4.50902238,-0.14,-0.32,0.45,0
56.122076,42.94,100.01,-113.13,-76.76,0,0.356304,4.462481476,-0.16,-0.29,0.53,0
56.47838,44.59,99.45,-113.17,-76.21,0,0.400652,4.118287192,-0.56,-0.04,0.55,0
56.879032,46.04,98.98,-113.2,-75.71,0,0.356355,4.068976161,-0.47,-0.03,0.5,0
57.235387,48.17,98.27,-113.24,-74.97,0,0.350323,6.080103219,-0.71,-0.04,0.74,0
57.58571,49.66,97.77,-113.27,-74.42,0,0.364567,4.087040242,-0.5,-0.03,0.55,0
57.950277,51.1,97.29,-113.31,-73.9,0,0.354373,4.063514997,-0.48,-0.04,0.52,0
58.30465,52.59,96.79,-113.34,-73.39,0,0.354305,4.205416237,-0.5,-0.03,0.51,0
58.658955,54.72,95.99,-113.26,-72.61,0,0.366506,5.811637463,-0.8,0.08,0.78,0
59.025461,56.07,95.18,-112.98,-72.09,0,0.3643,3.70573703,-0.81,0.28,0.52,0
59.389761,57.28,94.43,-112.73,-71.6,0,0.357929,3.380558714,-0.75,0.25,0.49,0
